reporting_airline,airport,n,x,y
Delta Air Lines,FAY,886,1906593.7746134072,-871259.6974038639
Delta Air Lines,FCA,780,NA,NA
Delta Air Lines,FLL,22473,1989416.8668556917,-1869685.279595282
Delta Air Lines,FNT,2030,1311994.7209737643,-94908.29069657825
Delta Air Lines,FSD,1933,262391.66769403766,-152421.14243468866
Delta Air Lines,GEG,3220,-1301359.421680582,434754.4516689109
Delta Air Lines,GNV,610,1713210.202819757,-1521173.7749550838
Delta Air Lines,GPT,2462,1053309.932237782,-1551591.5360315368
Delta Air Lines,GRB,1494,937500.1847212611,11455.51186734217
Delta Air Lines,GRR,7807,1172122.820083283,-131332.61154739256
Delta Air Lines,GSO,4903,1786518.0109945685,-773819.2638128912
Delta Air Lines,GSP,4736,1613274.8060153143,-951578.4592630994
Delta Air Lines,GTF,152,-850982.6218190015,336557.8527662991
Delta Air Lines,HDN,204,-609905.1545202036,-475672.5575641322
Delta Air Lines,HOU,3852,460280.73628586193,-1689712.830489488
Delta Air Lines,HPN,74,2158894.9049711176,-86876.2302864189
Delta Air Lines,HSV,4076,1208834.3933259062,-1056146.4674099446
Delta Air Lines,IAD,5663,1922328.2460675351,-409030.73296909296
Delta Air Lines,IAH,6070,452316.2866359444,-1652751.7266989667
Delta Air Lines,ICT,2098,226443.7486944286,-813259.0022928995
Delta Air Lines,ILM,711,2011109.1479966196,-926704.3084000075
Delta Air Lines,IND,10065,1166867.010981104,-490339.71160834696
Delta Air Lines,JAC,2106,-861423.9636510183,-97950.92206649132
Delta Air Lines,JAN,4119,935832.583190702,-1353814.4254133569
Delta Air Lines,JAX,9171,1752547.7524868262,-1421732.3716896002
Delta Air Lines,JFK,56207,2167729.4793459354,-134551.3799715436
Delta Air Lines,LAS,26276,-1356682.4796960566,-868251.8410072095
Delta Air Lines,LAX,58302,-1689593.4354288722,-1043456.7015018368
Delta Air Lines,LEX,2249,1341000.798647487,-649583.9025673885
Delta Air Lines,LFT,701,775087.3962458812,-1604692.13984499
Delta Air Lines,LGA,47184,2155684.513057,-122316.28523641168
Delta Air Lines,LIT,4204,712194.5002882322,-1107832.4518794755
Delta Air Lines,MCI,13161,455074.4312943624,-619331.8913740775
Delta Air Lines,MCO,35708,1829771.2698870576,-1638824.7811905802
Delta Air Lines,MDT,2170,1943193.8006085365,-257785.2270711698
Delta Air Lines,MDW,5078,1011185.7905791268,-281702.30650750065
Delta Air Lines,MEM,9094,913341.2595404746,-1051685.0479322155
Delta Air Lines,MHT,784,2266652.2564188894,174443.80657271238
Delta Air Lines,MIA,19582,1981134.7610135972,-1902847.3929129404
Delta Air Lines,MKE,10386,980769.513678976,-155418.02245427898
Delta Air Lines,MLB,2761,1900134.869329781,-1660095.1338035632
Delta Air Lines,MOB,916,1128771.5470616468,-1509919.7780781558
Delta Air Lines,MSN,5871,862184.7227999782,-150397.75067967636
Delta Air Lines,MSO,1362,-1063417.7421266043,306790.99797850905
Delta Air Lines,MSP,131835,533284.8020873081,9198.64416372486
Delta Air Lines,MSY,14646,943779.1568939897,-1610813.662288556
Delta Air Lines,MTJ,70,-686655.9669476862,-688739.660562748
Delta Air Lines,MYR,2395,1934759.0351566628,-1014954.7170777966
Delta Air Lines,OAJ,184,2022119.878178968,-859175.0999656057
Delta Air Lines,OAK,2268,-1929816.947397706,-549399.1884917811
Delta Air Lines,OKC,3800,218240.3077465392,-1063902.9710996167
Delta Air Lines,OMA,6138,343006.6325637459,-402442.5398354072
Delta Air Lines,ONT,639,-1614545.9907031525,-1046821.4894757676
