airline,airport,Arrival,Departure,yearly_passengers,hub_type
American,PSP,2.80125444295182,3.2102875859306885,871865,Small
American,PVD,2.816617722219076,3.356980120899781,1887188,Medium
American,PWM,2.7705546677577186,3.18679161175983,925958,Small
American,RDU,2.5291049166766504,2.786779675258135,5582857,Medium
American,RIC,3.202390784274703,3.152182001795743,1838806,Medium
American,RNO,2.975565187480323,3.1899077517335095,1947053,Medium
American,ROC,3.0147515115743024,3.0678420502015307,1200800,Small
American,RSW,2.6794849303160038,2.9898457018267837,4209004,Medium
American,SAN,2.445436899706457,3.177662348823656,10577561,Large
American,SAT,2.6794440581554433,2.988272732169966,4298244,Medium
American,SAV,3.114768819197709,3.302456225918258,1194295,Small
American,SBA,3.0251314977730788,3.3278930636155457,356760,Small
American,SDF,3.4162291921434904,3.388978873142789,1716039,Small
American,SEA,2.1483582735186038,3.081559747103411,17885508,Large
American,SFO,1.7564158396598213,3.223908130284973,19436599,Large
American,SJC,2.7241444054597883,3.2437465602793143,5534751,Medium
American,SLC,2.7712442762348015,3.1984302631132024,11120731,Large
American,SMF,2.767348038895969,3.2854688800808547,5206732,Medium
American,SNA,2.428297361137582,2.9014637313145153,4997816,Medium
American,STL,2.4505352410297845,3.214985857826622,7318250,Large
American,SYR,3.02003521432117,3.4974218343631436,1009733,Small
American,TPA,2.275143787220863,2.6587056901302537,9104125,Large
American,TUL,2.8641734453211716,2.86465509230616,1408059,Small
American,TUS,2.696652066877212,2.786346528651074,1685121,Small
American,VPS,3.1303248555464425,3.3247572320474803,567496,Small
American,XNA,3.1165778261891472,3.3118433538963745,699281,Small
Delta,ABE,2.8041426358233417,3.3242412775863874,332751,Nonhub
Delta,ABQ,2.6982279420098223,3.338240883875409,2478864,Medium
Delta,AGS,2.5865453537457337,3.139843715204909,291129,Nonhub
Delta,ALB,2.6437029770071763,3.1242999544852483,1403020,Small
Delta,ATL,1.4635053242657041,2.1259397847777026,44302796,Large
Delta,ATW,2.73513728717647,3.1350871394987023,281759,Nonhub
Delta,AUS,2.568833682441857,2.685242676043344,6804711,Medium
Delta,AVL,3.0337317435765914,2.929875304985574,479347,Small
Delta,AVP,2.607573450485272,3.2379742742661586,262404,Nonhub
Delta,BDL,2.7128203793831522,2.984013762470727,3030170,Medium
Delta,BGR,3.2741170990479063,3.4786932145710234,280239,Nonhub
Delta,BHM,2.8452414063803526,2.980345392555941,1383936,Small
Delta,BIL,2.9002407766227702,3.0731704733402574,417456,Small
Delta,BIS,3.0006715404040643,3.3568281340221713,275588,Nonhub
Delta,BMI,3.4313141000663094,3.648203818217025,163579,Nonhub
Delta,BNA,2.5171089619825344,2.8965992636480777,7032020,Medium
Delta,BOI,2.7403713653927646,3.1498630069535976,1815646,Medium
Delta,BOS,1.8766227270762759,2.5760377944375277,15237896,Large
Delta,BTR,2.9586062192600857,3.162419674063062,378990,Small
Delta,BTV,3.301640464641312,3.5563615364694323,577316,Small
Delta,BUF,2.903300645613058,3.1947521718366456,2358366,Medium
Delta,BWI,2.6509193447117188,2.7876807967088233,12602673,Large
Delta,BZN,2.7855753226535875,3.0225345785666424,599532,Small
Delta,CAE,2.7035524216737006,3.1024714736528463,521349,Small
Delta,CAK,2.9023031386209035,3.282965712186494,619910,Small
Delta,CHA,2.868232217323489,3.115217554647225,490075,Small
Delta,CHO,2.387783879670516,3.5879847989007376,334215,Nonhub
Delta,CHS,2.6668781079714514,2.4246297982300313,1964028,Medium
Delta,CID,2.896647861448833,3.4373902075389826,575459,Small
Delta,CLE,2.7233799508860925,2.850359630305093,4387828,Medium
Delta,CLT,2.630682879567879,2.916419521228853,20561398,Large
Delta,CMH,2.982530940582822,3.2110423017445493,3698549,Medium
Delta,COS,2.458973343264976,3.3464209381733303,855384,Small
Delta,CRW,3.135688149285738,2.833596498097936,203313,Nonhub
Delta,CVG,2.9495849544592083,2.7712117012987143,3682528,Medium
Delta,DAB,3.121301974361129,3.308872859654408,347701,Nonhub
Delta,DAL,2.906989735309034,3.047585339589768,7925332,Large
Delta,DAY,3.0724464879694406,3.20934254334285,937013,Small
Delta,DCA,2.522422893820585,2.946735386837879,11322002,Large
Delta,DEN,2.3342617374361843,2.5172060943712102,28665829,Large
Delta,DFW,2.565904713653372,2.8273194247375413,27504431,Large
Delta,DSM,2.719890555747009,2.955515980379985,1274284,Small
