airport,x,y
OK01,367389.5915426453,-943228.4922398068
5O1,62776.53598520002,-983835.4582812901
OK05,409317.0376769174,-901785.6752719929
H04,433609.7679163377,-919081.7915275494
5OK3,435055.4155407018,-933021.564613729
86OK,432936.71428799804,-914806.3577277173
H68,420292.81901274394,-991925.7224391188
87OK,415845.86000482267,-992607.8226940968
WWR,42853.894927698486,-951049.355198973
OR18,-1423477.5307191722,251126.68983353308
S12,-1793688.936340641,218055.39340039884
OR20,-1799314.9153854074,222116.39516622023
OR21,-1789828.269720536,211682.6699449953
9OR8,-1790436.4883174929,228192.66695127817
4OR3,-1792026.7598777257,228405.4004820835
OR67,-1788907.2854099453,223355.75363095364
OR22,-1792187.7091108616,215439.73871450592
50OR,-1649599.651455933,114418.1507708585
R03,-1602164.2429275967,-14811.445507241579
64OR,-1789689.1451454822,263250.2013142556
OG44,-1790734.825370097,277591.89531411417
OR24,-1752724.899434288,276874.41019594215
93OR,-1393895.1663825097,131803.09416415828
OG45,-1400200.7818740723,112834.63795528395
BKE,-1390034.5125814641,135811.2352440438
OG47,-1393602.4836253608,97303.80701729062
OR71,-1800373.2243064533,270160.27623906004
S05,-1945467.3099396091,82270.57116961566
OR27,-1769034.670139768,328816.4029264582
OG02,-1764596.637251736,323317.80161547736
9OR7,-1764696.6264615068,322598.9371844695
87OR,-1719973.4581687036,-34415.43479320202
2S2,-1743753.0407247813,27397.486809741953
OR28,-1756082.317945426,301015.50348728494
53OR,-1745102.6872559958,305900.5783130186
38OR,-1519117.226592427,265366.4334168966
M50,-1516708.309397363,278656.0098715691
OR35,-1713594.0476653387,288740.5649132294
OR72,-1713796.7641111088,288734.06380871113
6OR7,-1713314.185924308,289860.1904604365
BOK,-1968868.4856993048,-29565.190255275407
OR36,-1969546.093158169,-30164.51749781372
7OR7,-1769267.7173433842,259549.7266920397
OR38,-1769881.0071888694,262700.8832853073
OR75,-1320101.7957973413,121497.9901220036
9OR0,-1801145.4881203603,182480.3307149951
OR94,-1799119.7509017126,190841.99511102226
BNO,-1509428.2044058205,20522.8512568165
81OR,-1589973.603620473,879.0501395224258
3S6,-1788318.8884996448,51146.68917860654
OG48,-1808508.8030799625,170709.291267069
OR45,-1807170.3604888518,170443.78129973955
OR46,-1577066.5214759852,244284.568502229
3S9,-1558237.358002604,223572.47410388905
OR49,-1922420.4580045587,109957.33606623547
45OR,-1925071.443793446,83942.18064939417
OR50,-1705841.830599642,291539.7546631467
4S4,-1763471.1116500578,319739.8464224339
CVO,-1815405.0253364476,208028.26998381576
55OR,-1818754.076858197,201891.84006060907
OR39,-1804523.2612546918,223608.27262380408
4OR4,-1813234.244351166,201133.3642535532
RKR,491274.6016724423,-1092545.6986123463
OK59,483689.08880434476,-1092948.9071038538
O47,298070.6406455371,-1051494.7306642774
7OK3,421749.5819185597,-953734.8429813238
OK84,421660.24406530353,-955107.4980021319
OK21,421574.5498151993,-951008.2000816618
H71,419886.5409616013,-963103.9078331903
OK75,240791.90589861438,-1103690.022619379
3O3,239347.9909116107,-1108694.920889537
OK28,300128.66121958575,-1190171.9531123387
OK27,501888.96381814213,-1045873.9628036825
OK40,192639.12910838655,-1138263.0519847737
89OK,463525.2471401327,-1047456.4492178211
0OK7,10518.611536276678,-970080.355466445
SNL,278179.67612159526,-1065934.3351972746
3OK9,269461.78459840815,-1070183.273347376
2F6,358125.069034543,-951872.8142245256
4O1,90618.33076000851,-1151253.6728620015
07OK,88803.17546101363,-1150645.206117183
45OK,391696.1187065603,-888281.67940636
79OK,351597.4851776582,-956783.8011166513
22OK,260475.73297959828,-1182048.8109624188
GZL,446614.834920047,-1065668.6969486368
SWO,262354.78176236973,-977304.5785974764
04OK,263416.1152823942,-982421.9490706576
K49,-162493.01185735935,-941921.9976490171
OK31,266365.82747005107,-1241303.721572299
1O4,114986.8244482162,-1028389.5083611337
1O8,76330.0454793145,-1170132.6061945914
0F9,307136.60825985635,-1193298.8379677099
RVS,362001.5080034015,-986722.9996656675
OK76,357894.9591479902,-978412.0575364075
7OK9,363180.3089919069,-976156.0367970845
52OK,363840.5514926158,-975230.0311946843
6OK4,363029.18117506197,-974853.4404553461
OK41,360332.8851035312,-974595.9249084645
OL20,427586.60044325696,-988005.9683833086
3O5,146957.5848317092,-1178653.2840967984
OK12,159758.0885981492,-1175458.6849475643
JWG,142784.51953628735,-1013409.4406660103
1K5,102587.11587573697,-935690.7803278344
OJA,120902.9276851638,-1049121.4273451965
3OK,271679.94652904075,-1032482.1213478012
OK96,263880.40093838837,-1022173.0473653036
4F1,328601.28265856684,-968059.6660415444
OK92,342758.6406257252,-1077069.91396538
8OL1,343618.17761183454,-1077647.8674997364
H05,421355.6819969697,-1107932.4729349653
08OK,433679.91702134715,-1106000.0349511013
18OR,-1788598.7549329153,269737.9556825095
OG53,-1509757.4323109544,-106323.31839555044
2OR1,-1594642.6682554372,184635.55725821125
1S8,-1545837.5444495329,275447.9344238469
OR16,-1458676.4126331648,-48232.81742149359
65OR,-1835208.4650140721,-54189.56946757312
S03,-1837777.5463064965,-55215.469503372224
AST,-1805409.702235777,400081.0648026309
OG03,-1800125.6885593035,402003.837376124
OG56,-1799448.0867956805,397510.4479914302
OR23,-1787942.3146955497,395079.1502628215
OR25,-1775356.977943431,236864.29835770885
UAO,-1753038.2148804246,277366.4388919529
OR68,-1752406.7902027485,278531.07534229
86OR,-1752572.496229869,310383.97847336176
OR00,-1755346.89024172,299980.8648655912
BDN,-1669032.3384475552,119320.96292792674
8OR5,-1676148.4405581884,115765.92153373464
OR30,-1677137.8615285684,110904.13386602938
43OR,-1665322.2775787583,118046.50077489608
5OR5,-1664479.701240463,111125.336747739
54OR,-1674929.1445324095,117877.6282672291
OR04,-1668174.1103334052,111541.1974891606
OR15,-1680570.1825555996,128523.95759408832
85OR,-1704902.0148603083,-67144.87695740577
80OR,-1699473.9439649307,-73257.21495605969
OR32,-1495223.0768754948,17173.28194673845
OR61,-1770262.443577851,333006.82190282753
44OR,-1750587.5007203454,273747.19504401594
OR40,-1743908.5581926997,275690.0312146436
OR41,-1746762.38165925,270904.7188609592
CZK,-1673704.0186116302,304709.57493251184
3S4,-1920477.9910222911,-40925.46698030816
OG58,-1853827.3074522861,-25435.73366246506
2OG2,-1849848.8467794298,-23728.789065339282
2S7,-1765110.8246639722,-30457.362763511694
62S,-1651829.9930133773,15196.40293651791
OG06,-1666404.6339356247,16172.561022421436
OG01,-1807994.3545311654,217601.1471949165
OG49,-1815464.014701524,199261.8884118464
OR52,-1817132.4130781929,205801.23662047272
8OR7,-1806423.827145313,220596.10161623507
OR54,-1805989.5108609507,217112.67254527385
OR55,-1809188.3332021646,218772.79142986712
61S,-1817547.3109157335,127508.62193140587
7OR0,-1364096.6282533554,189691.06790086112
OG07,-1378744.269714673,190167.75421390764
7OR1,-1484179.277534425,-5305.404441220011
5S2,-1742853.0953497442,74325.2790472267
OR33,-1742848.267437092,73625.6497489287
OR57,-1815688.7392453176,134528.02559941952
77S,-1811692.260107263,140605.1678284134
78OR,-1433503.8788210123,-29729.712596349913
5S5,-1665990.3142310807,167835.31613763553
OG00,-1671000.7873108434,173693.21826336673
8OR3,-1851209.7016755876,35599.63725158701
49OR,-1530289.3843411633,141063.26355668702
OR13,-1517944.2765155174,127519.60021759434
OR08,-1499285.047380925,-35148.621925087056
67OR,-1759886.2974867455,277816.1963615194
89OR,-1829651.4117028269,-9971.132030152276
0OR5,-1843581.7072304552,-16956.69922989029
26OG,-1835363.6635237825,-24046.633543547116
05OG,-1816218.5003614791,157025.46639898373
OR09,-1485565.2944784607,-129403.02100996659
2OG4,-1516724.1373877965,-122804.44594286811
6S2,-1893829.0952733657,171632.24513896508
1O0,-1896631.2664076677,163250.17350168928
OG57,-1892781.1779859334,170360.87610551715
50OG,-1767429.6978659397,314922.3695285372
04OG,-1767524.1314272243,314882.22688312316
OR10,-1536093.1524345127,-81513.99780100997
69OR,-1775058.6999271426,303280.2553342018
6S4,-1742399.8634661613,215675.50764433245
OR73,-1903395.6555782305,33088.93729255821
OG41,-1871157.1462530592,22499.867407475693
OR78,-1805339.2169418046,178505.45974775893
HRI,-1474447.6677827581,269638.8628111807
OG09,-1477691.8415803758,272626.76326218667
7S3,-1760143.5251794008,300690.20860005455
OG46,-1760056.0577149151,311353.25466692715
OR31,-1764452.6217174726,300206.12051180034
OR81,-1762050.6656120142,315903.2946314134
OR12,-1312656.509839233,137960.34942194982
OR91,-1301713.57284391,149297.06704001056
4S2,-1648236.7674518537,297101.999136808
7OR6,-1653560.1776866165,294390.5211365698
OR43,-1647033.077970121,300251.1502396169
3OR9,-1436374.5226144616,45405.552140220476
OG39,-1535245.8213760033,150045.04892278902
OR89,-1556428.0115354315,194571.46733812767
LMT,-1765818.748562519,-79479.60394073268
9OR3,-1767227.6499865444,-67855.03883835765
6OG3,-1750651.3883602822,-86642.78826333975
3OG3,-1771398.5432936472,-81883.99667037388
OR90,-1779810.4386479722,284972.36322906805
LGD,-1393967.0248513517,188521.10474901804
2OG3,-1738370.0713700836,294568.24347702425
9S3,-1912004.6076235839,130268.03910204548
LKV,-1660210.2601934983,-107042.08567791447
90OR,-1655890.452040778,-105899.16365129476
22OG,-1656704.9655167991,-94725.58886666266
OG19,-1655981.2122516574,180311.57779125439
OG51,-1636277.890817589,155651.93607492204
72OR,-1630821.3705192397,189648.7288893358
OG35,-1647369.3222423315,176632.49815314947
4S7,-1743596.8788191318,-103555.53244428302
3S7,-1824285.6837351876,351839.16364458477
19OR,-1641584.6755814427,229777.91206589818
OR06,-1847824.0411764514,-11562.649429089175
OR96,-1846342.0878852655,-11995.862441028286
OR99,-1847365.2852597127,-37525.64944205992
0OR0,-1849166.3659696889,-34565.28393736033
MFR,-1848901.1636070218,-30420.714220456124
0OR2,-1901467.9586704925,-43179.383129696085
2S6,-1765296.3167571507,286669.5531800833
1OR1,-1762740.064065663,292905.13378358854
28OR,-1760767.588174458,287265.40709834837
OG55,-1763526.3233949447,287633.6818267773
73OR,-1771084.6663712033,297144.4849534075
17S,-1771754.13300738,291876.32464279316
ONP,-1870386.0499083917,234647.3205184647
8OR9,-1869007.9208365576,239883.78602010277
OTH,-1922459.873897469,113968.37166049553
1OR0,-1916951.7767897826,120042.9326707532
1OR3,-1759989.807858444,319743.434329346
2OR0,-1731272.0076577321,282366.4283661303
7OR9,-1728479.0863036641,279218.5423299516
28U,-1387683.5867950914,-26494.618738361765
OR83,-1314056.5533772868,134853.27741639718
PFC,-1843023.7818814886,298973.7265202405
22S,-1658068.899844583,-43178.84864617235
PDT,-1446816.7408164265,247579.46377158296
46OR,-1445588.5986976475,241245.12178159482
OG42,-1428809.1215325133,238651.82546036138
45OG,-1448594.3321160015,222831.26193813156
24S,-1818338.0055791852,-70124.56949384056
4S9,-1740596.422827974,270149.04650570505
OG11,-1736434.1995373226,305910.9020824963
93OG,-1648064.4139664192,138971.1948215843
6S6,-1925626.5222194276,50547.79224264886
OR17,-1468199.0092925585,105023.78719929121
97OR,-1465389.8118729147,107042.06619528656
S39,-1641025.7917707108,134228.466505924
77OR,-1640961.5739319199,133282.48287741898
2OR2,-1635750.8321402,135461.4288136741
OG21,-1637345.5525934184,122495.90271428203
6OR4,-1632985.767437738,130387.64654210379
64S,-1807916.1476307665,654.2445151016562
20OR,-1724895.9366550168,278264.0444808049
RDM,-1660635.4083457722,135572.77094228027
3OR8,-1668889.8946071689,141190.25736849502
62OR,-1662005.394710152,143793.32826378403
OL02,-1488285.079404825,254262.5258600371
94OR,-1865526.1910074821,109825.94946533136
33OR,-1836757.1754223828,163662.59912879037
8S4,-1334479.1933071201,190768.4044870228
OR64,-1319403.8935508458,249156.20521582986
68D,-1363828.9669202087,188068.2308394189
05OR,-1340273.9010459075,194262.82758115232
OR65,-1718159.4533353308,279804.9356924957
OR66,-1720831.5127079478,274638.48712310416
OR88,-1717533.8480714776,274115.9959996943
EUG,-1821248.2565430696,166143.80782859208
OR69,-1813824.8828709645,154733.58263699154
17OG,-1816256.8223888807,156896.64656561654
S45,-1858521.0558597625,265835.34794379334
17OR,-1840191.2358149926,71013.20990816779
98TE,-1843506.218691569,78777.38957598612
4S1,-1968455.9769540818,10473.534264791624
OR74,-1911326.0545460773,26441.208424513592
3S8,-1884920.695869264,-3973.8742566854867
56OR,-1717714.8007271586,298488.01641159743
OR11,-1399575.6174051054,146577.3397871603
OG27,-1403005.215275862,150546.03055520233
OR70,-1334300.7300405013,126056.19382252016
OG16,-1813252.3951864708,193990.98763498876
OG50,-1395642.3675787314,23604.731981458168
7S9,-1753131.7983357427,269587.0019367845
25U,-1291090.5846321532,181782.33093436414
7S5,-1796884.068567834,245879.81597879055
2OR6,-1437267.454899126,71307.57458006895
OR86,-1789077.6404517428,230456.53658969497
2OR3,-1791637.7578144681,235806.382235005
21OG,-1782747.9083869546,230499.75644123295
GCD,-1489635.8596932818,109125.16337304449
12OR,-1393619.3348336031,-79376.89046989309
JSY,-1335199.5984279471,183453.63928318428
OR47,-1817548.8161121178,172508.59388430903
OG36,-1818532.0641622883,180075.06998213963
OR14,-1436278.3484486223,20620.336128956056
S30,-1787257.815575098,203659.91180932644
8OR1,-1784969.2671485385,205365.91617711214
88OR,-1789237.3147016393,208598.97391005896
OG10,-1778646.9013510428,204175.61536631198
9S9,-1516771.1492331964,237003.55344387077
OR93,-1852376.3023566392,276811.33749903244
OR07,-1490608.6032032156,150747.67553102935
OR95,-1793816.5936500386,266376.4032501237
26U,-1450862.6367990235,-174503.2561593342
00S,-1734009.3901888581,147430.01334161943
MMV,-1781908.3939429407,279770.8409297973
OG38,-1784017.4946004762,280923.29095200804
S33,-1649102.9072469363,180774.03373490376
0OR3,-1767413.7667506265,-94977.91946143308
0OR4,-1659181.0662530018,177277.16353094878
OG33,-1409251.8720269378,259815.14348964507
9OR4,-1411039.2601857784,266525.52072148246
04OR,-1574543.4132178917,170309.55314687258
64OG,-1554356.798340977,135452.32231788797
OL05,-1744810.3654241087,263156.17783720663
5OR1,-1745254.8947416262,262701.2441128961
0OR7,-1802193.5182791674,245931.6512936629
OG52,-1802304.0126031882,244231.3034356326
12S,-1513739.8722768135,164388.20680456326
0OR9,-1651712.104769,288736.3870233683
16S,-1864235.1193737956,46909.07945607754
OG62,-1860742.975194505,48921.01817725435
1OR4,-1760722.8752573843,321426.34200569324
OG63,-1760381.32784329,326583.7148078441
97OG,-1348953.397498356,19235.56559024198
60OR,-1848184.410544446,92400.73177416572
2OR4,-1851722.7824365008,99122.71863997239
5S0,-1778834.3078059931,110181.95793711093
13OR,-1773217.7297016531,107179.34362773981
ONO,-1347962.154906502,32915.79044372064
5OR6,-1344925.3329638774,32974.82767034724
OG20,-1734479.1790367044,280539.3267546028
1OR7,-1728412.9843122847,274947.5499183741
OG30,-1738636.2454262103,281263.53081883973
1OR9,-1735972.8030076034,285112.1823118402
2OR9,-1737485.5965086624,304380.7465185855
3OR0,-1736228.0041787769,301543.37437759084
9OR6,-1738891.3945372088,302699.1221719776
7OR5,-1736472.5960740077,307289.37736969494
9OR5,-1729070.0756929687,301468.45354152244
34OR,-1732581.5782375406,304226.70474600286
61J,-1737024.2727250627,305206.51185313787
PDX,-1729571.0771865274,310444.7043324455
HIO,-1757200.5678623386,313129.35322612355
TTD,-1716300.2659024089,301988.99050214066
42OR,-1600752.8578602748,105840.67833475192
79OR,-1905105.185833106,141173.89350114242
4OR0,-1869259.62837897,-3366.947734004074
REO,-1450179.4857743403,-109674.57074449718
0OR6,-1423804.393316939,-86182.63295811939
RBG,-1859842.7612914576,73957.07249272973
48OR,-1873557.4884063392,68694.1476861364
58OR,-1840068.7815323146,76309.52043177921
OG40,-1870447.6931412723,76909.05345434872
1OG1,-1860561.7074629476,74587.89970779339
5S1,-1864317.762943489,72498.91226144458
95OR,-1874415.4412379297,74620.73703955974
OG13,-1868221.7307904281,-39761.286898080674
SLE,-1780916.9487717673,246083.70397328038
51OR,-1776195.2042917905,255226.5184970412
9OR2,-1783715.0693730311,242071.66501298532
OR87,-1773167.75369727,250412.98981177984
3OR5,-1785152.161889042,241555.2196313305
4OR5,-1774530.314922039,251025.35716050433
4OR7,-1774336.0085796432,253016.77108298073
OG37,-1782539.8468672484,249269.30971285832
4OR8,-1785746.495408824,240365.41947012953
OG29,-1708117.5580735565,285772.05515716725
S48,-1712377.8280787957,278095.35384795076
4OR6,-1708441.2585718196,288102.4632354091
03S,-1708011.771544951,282348.9733256596
8S3,-1715604.7027621304,171723.63406527785
9OR1,-1608229.7824531132,208430.21758031336
OG54,-1620369.745088542,206699.32349283437
98OR,-1799155.4771654194,285480.4178637364
OG23,-1802083.3080878349,281444.67295995716
67OG,-1807181.9664401738,268241.8802975198
5OR3,-1854829.4278182194,247468.37157822904
08OR,-1698140.2378229415,-18535.652722730065
45S,-1688723.227352645,10456.389015945677
1JY2,-1686753.8462600799,4837.920664960787
22OR,-1761968.5936466765,244266.94191607137
6K5,-1688821.5892259097,149120.065921476
7OR4,-1682188.1625635123,147804.40680938473
61OR,-1673957.9306886406,148574.54534656182
S21,-1694658.5589479762,100940.95950437292
OG24,-1844926.1620775287,87003.55170031366
DLS,-1622632.4464101414,283856.667883009
6OR1,-1631734.199341069,280843.2116875708
09OR,-1623235.4865662574,280288.9674650731
6OR2,-1631130.6425793273,285169.64747780125
OG34,-1752651.1438237226,295123.9107460039
OR37,-1747137.502999386,298798.11490921665
TMK,-1824969.7663923549,319125.8766354213
6OR3,-1826691.1780107627,324251.3604359516
5S4,-1860859.5630262957,234120.66311682368
03OR,-1340745.1300803588,241458.30027789838
0OR8,-1845031.526419533,-18708.811209380438
39OR,-1847444.6860642363,-24511.69137711941
OG25,-1848762.9273987634,-14535.222296486723
6OR6,-1899996.7673193167,-13351.613786930426
OR05,-1792717.7046146751,302602.8654425953
OR59,-1782838.9036042704,296104.3064299743
21PN,1906242.7567891658,-269668.45581597416
3PA5,1704880.4112594496,-309460.6242484656
PS27,1742981.3745422217,-366567.4697751961
PN03,2077838.4550903537,-225394.94394984617
PS05,1606207.057989157,-153659.04566851727
75PA,1599539.7249083177,-155555.90111229903
PA30,2005056.370263694,-171993.5094449685
PA31,1958520.7168877216,-242712.19217311614
PN46,1707123.0523688255,-279543.71408603125
PA32,1960519.9100687406,-185237.28379762842
PA33,1912331.6326712302,-61395.405602932726
2PA2,1981301.9254203252,-198979.06395870174
PA35,2027385.65333535,-204406.98358357546
7N8,2033502.1913410013,-206575.01015214255
8PN2,2048988.8134145234,-141351.83537697548
75PN,1641821.2047836038,-281969.15274798276
76PN,1640205.71703684,-279404.2796399803
BVI,1632999.919232756,-274132.8894934438
PS06,1886664.887188806,-211147.4450580895
8PS1,2044024.4591472147,-177991.6108073907
6PN8,2044075.7720447748,-174053.7165716217
8PA2,2042771.4241891757,-169953.26288728253
3PN0,1909769.9519346582,-294648.3600866433
PA51,1915662.3335600332,-299010.53521663224
84PA,2015133.7978589013,-222599.69860355044
51PN,1682818.122654304,-293246.8187859549
N13,1945274.0712560383,-163077.30474533353
PA50,1943541.7774873981,-162144.7244482722
86PN,1950217.830184917,-156104.54786189465
3PS9,1646373.1081965598,-316232.11143150943
PS11,1865988.1565482758,-227311.7664010431
05PS,1855540.0453526254,-288732.4290602716
BTP,1668666.9403494964,-264809.3086333349
PA41,1672096.7708310655,-253521.90413188378
3G9,1664779.061569578,-257020.14875549814
5PN8,1835424.995471278,-272678.4199365933
3PN6,1632758.244886512,-161506.4559338761
PS64,1631136.254997753,-153259.35741198043
8N4,2032760.5724259412,-110640.82017405813
82PA,1649531.290659452,-313354.7702433722
PA59,1664012.5036763658,-328046.54304882005
PA67,1662666.5670176246,-327465.4363728195
N74,1855071.5180078556,-201914.8859243036
06PA,1768897.2136210073,-97267.57641054776
4PS4,1990946.105099487,-53132.231315087396
PA58,1885054.8300995373,-299974.3339996421
PA60,1879090.9867341002,-306540.31410847226
7PN5,1880177.883694593,-312005.67884726846
N68,1878154.1736030683,-302156.37467327935
PN08,1733911.969157251,-252932.47258982944
PS65,2066060.298637304,-259964.95051348582
87PA,1681978.6487813643,-244150.67214896323
PS66,1704901.4305404483,-205329.73662891058
AXQ,1698002.976489345,-205555.9064961745
SPB,-1743434.8558541038,335853.7275601537
8OR6,-1745447.1746210812,337774.012055563
OG28,-1771497.4212248204,216811.0549424105
OR51,-1764111.8309423157,218903.97278633574
56S,-1812242.5549676542,385380.44186308165
OR63,-1819360.0895719575,367177.18783445883
84OR,-1907185.5416703692,-28053.27449937204
5OR0,-1903183.5097105736,-24862.155664601352
71OR,-1505904.6693417479,94806.23573254982
7OR8,-1522484.1368181708,81093.74395726043
OG14,-1496624.7851256619,67385.39510094207
OG31,-1838432.7109714895,-6156.6419449618415
OR34,-1680258.9269203362,148845.55997123418
OG15,-1679623.2337150122,138305.6848985137
5S6,-1961325.2520997755,60356.33869099359
5OR4,-1727724.143869881,-57503.19667333372
23OR,-1803930.5668652994,151894.58088621433
36OR,-1799819.4608312855,145599.4336453356
41OR,-1807655.4498152365,153794.24181392387
OG64,-1808533.5732442245,157291.70956970693
37OR,-1428650.2356716255,174044.77701157297
5OR7,-1767818.9190802842,230076.5081796065
5OR8,-1773755.1795830855,228004.48674894695
5OR9,-1766891.3007072941,226409.97352145443
8OR2,-1764588.627157919,225930.17889366424
6OR5,-1746713.842893187,290815.3175520084
96OR,-1460194.8014255217,182353.7001016241
59OR,-1474486.3553647334,281608.52129170106
OR03,-1373262.8559280462,158107.78074262178
S49,-1368406.1866072197,30969.85566188001
05S,-1768881.4986607695,352957.96074800915
30OR,-1773202.3139602782,348455.57799456985
R33,-1878802.3055023614,214227.15170825063
99OR,-1359681.297904158,222227.81299638847
32OR,-1642610.7696045956,246942.0206553095
OR53,-1640933.5230051063,233796.75821737252
15OR,-1810631.297461723,396824.6030858888
35S,-1586665.1893197666,270693.54509941884
92OR,-1742435.5579538927,284712.3913851778
ABE,2035303.462784226,-176046.8940675607
98PN,2031406.5534451876,-187474.91762632667
PA26,2032284.897196584,-178889.40403594178
3PN5,2028664.6639062983,-188376.14388433637
PA27,2027102.1997599674,-184258.87791556725
24PN,2034154.385166444,-182438.98364347738
46PN,2027316.454888909,-178970.31238195588
XLL,2034067.6888695816,-186084.5711020258
77PA,1677834.885115719,-284791.1348373019
AOO,1814006.9601533618,-282331.73523786775
74PN,1801399.2021603056,-259613.5135471713
PS15,1801218.6055387498,-256656.6246427943
HMZ,1804059.8176127812,-309416.6852880094
PA36,2060516.4043591393,-191594.83182911592
N96,1838090.9345751044,-207211.99390424986
PS44,1804789.0209586225,-248268.9843774717
77PN,1889977.1692877896,-204296.66291721107
00A,2094338.9744976987,-225853.70187722257
PA40,1942919.5456485855,-140075.41266594522
PN98,1773833.2243444924,-335234.08082275046
03PN,1963408.673824864,-149508.04967734337
02PN,2052271.83254727,-240505.09052991163
8N1,1974626.492950987,-214326.71156972332
PA45,1893467.764024278,-129138.56240391593
BFD,1746333.5362242898,-125836.67947758781
6PN5,1744288.75778894,-114256.39858836333
PN22,1740098.2578603486,-110464.23773814592
PS18,1744503.8929040092,-114642.3022337144
6PN9,1971141.4791450487,-168344.83134294138
PA87,2020927.660362883,-192995.43744381674
PA93,1711183.1925292432,-264571.0232831531
47PN,2095643.330723548,-219368.89396834114
9W8,1975732.1197729325,-288020.49842243764
PA04,1727916.8824142106,-205680.73830697345
3PS1,2080925.0459081263,-223628.09655212727
9PN8,1997115.4212500826,-73573.55015502921
PA53,1997424.4018835742,-73248.11380648239
PA54,2011162.074227174,-81261.76728994037
N95,1910496.3092165538,-266090.0982065253
6PS6,1911072.1141445502,-259647.60589206644
N94,1910040.5629462933,-268041.6358381469
5PA0,1691551.743165696,-363293.36576584174
0PS3,1934025.2779796158,-225754.61539761044
PN30,1832614.5841248771,-281134.5846309482
N16,1852985.8110851578,-211611.7446899396
91PA,1702389.6847418034,-208167.1870283732
PS67,1646541.4654057317,-347530.97213480563
23PN,1782966.0124945291,-205159.40813952326
FIG,1785352.0995851655,-202754.07170540624
3PN1,1992236.5043009536,-75457.21748881578
88PA,1637123.9551832266,-299980.69316032395
PS39,1752948.8931137277,-260230.11508909584
PS07,1992200.2454425208,-169583.579307363
MQS,2022165.3098739486,-259195.17645864133
4PS8,2028609.1448881144,-267268.45389030257
PN34,2020830.041685737,-259714.06458288073
PN52,2020083.9340698838,-272934.82562038855
03PA,2048669.8481945999,-229420.72035038075
0PN3,2048987.351887268,-229816.25838114045
PA61,2049715.0999825362,-228841.41169475223
PN54,1894988.1991460277,-79256.93372721586
90PA,1785797.7231244934,-106176.62120592101
VVS,1713824.7167866065,-347736.93294052547
63PN,2043547.5602146958,-190394.1118559891
92PA,1670463.256151722,-272704.3744030883
PA65,2025088.045331583,-173621.6723978046
8G2,1663872.84140133,-135431.53883718685
11PN,1671256.7755277227,-197676.98099588888
PN01,1677215.3244119205,-284402.1783552171
0P8,1943930.6104512603,-277283.4078199308
PA70,2031164.9310607826,-243197.55660500104
9PS3,2069520.2341902151,-205690.6309926567
PN28,2070495.9604389523,-208027.90648979772
DYL,2070843.2073865968,-202436.74507985258
PS46,2065282.9033005121,-200748.81799262343
PA10,1754714.369269979,-203442.05851156317
DUJ,1742944.079101052,-199179.98742093958
5PS5,1912018.8337372348,-243107.75613839243
9PS7,1800986.9429928542,-268363.79664574924
PA71,1927153.8034416225,-107225.25500920237
4PN7,1924496.9489062987,-119729.85069443227
40PN,1919301.9737189189,-124760.73352410037
PS48,1976918.356991715,-122787.89168275542
22D,1673408.8257323825,-338106.5435297329
PA74,1928866.627588681,-230189.52930143612
0PS7,1926726.7651032107,-224163.9695155406
PA19,1989950.8642121272,-67316.21817084965
PA75,1846395.6820574289,-79037.25783352175
8PN5,1941123.9658528543,-183539.1540700257
8PN7,1785623.0699354499,-148744.1838680948
PN11,1622316.8396651065,-263237.7239178231
ERI,1616839.257395204,-127065.80737434317
29PN,1623484.217020017,-122058.93240037172
03G,1626683.6530610754,-131810.0343713405
0PS9,2096018.5346924467,-212131.95984805355
PN18,1612740.0553976332,-134523.48723866485
PA88,1726797.986153747,-361941.834550309
PS41,1615652.1535058548,-228022.90308324716
PA81,1888870.9159838362,-306139.4036580002
G05,1677550.47263369,-323836.609169913
PA82,1986119.4818786245,-79942.08687426626
4PA0,2047953.9902545293,-149611.9085018817
18PA,2076709.9773478599,-205218.86750562137
9PA7,1755372.6314290545,-358579.47724744043
P91,2011489.697673776,-173440.75613073312
9PS8,1911111.6307717445,-311421.31301964854
PS90,1914444.1492474098,-315873.6894202999
PA11,1915592.9228415831,-308798.9122834054
PS56,1915645.8699568124,-314073.0743622386
PA47,1913375.1067094926,-314539.9045944346
12PA,1919086.7887117246,-304899.21117928874
PA14,1915054.938961276,-313594.8551922973
W05,1911954.8705871496,-307898.85286089237
37PN,1936726.8464038803,-304641.6362385749
PN87,1977763.370625387,-125349.68600328785
PS50,1977640.1274844082,-62851.05176997317
CXY,1935310.0175078884,-257298.05402973882
PA95,1940314.393290861,-256070.33728752812
05PN,1932314.9118811102,-248485.9436104074
PA48,1928664.2361770512,-255137.40844734092
06PN,1936757.2285809175,-237529.09822340967
3PS8,1938519.1656678899,-235482.30870142695
MDT,1943193.8006085365,-257785.2270711698
5PN9,1931715.858720261,-253602.0349564202
7PA3,2013756.126255994,-58854.066917222444
N30,2022733.654850706,-78400.28247206932
26PA,1872852.9785705912,-253524.50060799313
29PA,1629061.5029783263,-302248.8917842908
80PN,1634701.84137811,-301027.80012588424
N48,2070526.3587603294,-217958.10779491227
64PA,1833667.6460822322,-253943.6022823662
0PA6,1842624.13419569,-235565.82289480988
PN64,1839081.6168391423,-251498.44449904648
1PA7,2084568.688168262,-222668.143784246
PN42,1737675.703768267,-264623.8985337282
