airport,x,y
48AR,830174.336655748,-1011890.8364870814
FLP,664982.7270585446,-938196.3627476529
45AR,659831.1947375663,-930142.8729183171
6AR9,654559.6574529208,-925253.4281609899
5M4,707261.2072976368,-1206608.1734724732
7AR5,702098.4409468916,-1210911.1372895064
FCY,842072.3934611765,-1071050.752927585
AR72,840810.7948257074,-1060357.7219023986
AZU,525636.69749855,-1062122.8716839415
30AR,719883.0462898288,-1016353.1366030184
36AR,789918.3383697434,-1047106.1037364858
94AR,789257.2544779129,-1052750.348662953
3AR5,764252.2651978686,-1059577.2010932425
5M8,632497.3811422186,-1204314.0546378607
20AR,698214.440368977,-1044709.4219078262
0R6,701343.3247943092,-1243073.8324921988
HRO,614713.5417597058,-945737.318619834
AR80,618986.8800501481,-948177.6290132578
3AR2,610036.8345902627,-939599.7550387027
6M0,765434.017959046,-1099427.1181192105
AR10,767671.8324519313,-1093917.5081498886
11AR,637520.6317723247,-1143320.829137227
0AR6,640055.1804252856,-1141189.7883740475
HOT,634653.7970921479,-1142534.826249997
H34,562345.4867441977,-970214.9383674306
79AR,727149.1925773686,-1092696.4184379294
LRF,717727.4825540454,-1086380.1897107577
22AR,523261.8401052543,-966704.5140059215
JBR,843810.3939723297,-971535.5692236543
AR60,842281.8524113361,-974398.7369567457
0AR5,838798.7491211956,-971620.2967761839
23AR,852781.7642052467,-971179.5161958246
05AR,579520.8116124895,-977551.9398691377
3AR6,685547.2216046052,-1110447.0627743267
AR62,705783.434103917,-1106920.0781121464
1AR9,732377.7169478443,-1096489.0388206737
2AR0,733741.1733153479,-1090373.840501318
39AR,745813.2018442006,-1084372.0224834208
AR91,536357.0597663603,-955677.2970310036
3AR7,524129.70934195793,-952217.8432571372
24AR,833851.4828308433,-1154913.8639531573
AGO,633463.3317828453,-1281581.9753373668
09AR,630980.611559223,-1276619.1314837164
M78,666564.4685869928,-1155960.086485408
03AR,664100.1121250825,-1153425.3172847922
MXA,887194.2345025216,-959555.3346330846
MEZ,532720.9270737999,-1142683.146682121
LLQ,765965.6292733944,-1224166.9252041846
AR85,760062.1576234542,-1227861.4484591421
BDQ,664037.6385863328,-1066850.6553226246
AR43,658006.8357654708,-1071391.9786579665
AR65,663149.5392198046,-1063379.6022522226
07AR,655682.7783426741,-1061080.8447765212
MPJ,646253.0316863091,-1068077.2284244692
BPK,674979.8585243208,-928609.1187820409
5AR9,681628.4885739009,-931041.4780242078
42AR,682831.5308531184,-931769.0361591214
7M2,713758.6615408789,-981257.9889107981
AR67,905562.3225188422,-979074.93111710425
7M4,902577.2049774859,-980461.8088589539
7M5,558952.3206237856,-1033578.991637058
AR17,828894.4041562265,-1067861.4857757238
PGR,853472.0119171123,-944521.9381593139
3AR9,866303.50968947,-944016.4167459327
AR95,854606.8401980792,-945834.9401022128
7M6,574823.4583242269,-1055928.0554734434
7M7,880401.1601685653,-906268.4330429622
AR73,876922.7123879523,-905389.2249877673
PBF,743848.9085255376,-1166642.088300937
7M9,732226.2469091064,-924699.9811861225
AR68,733740.9811075534,-921558.065854943
SRC,751937.3871858785,-1050458.069213856
29AR,755163.7933280126,-1045472.9028485538
AR78,752419.7124557532,-1047864.9285207074
AR33,747198.0026365458,-1048379.9080074899
26AR,745517.5221609089,-1050540.374507798
9M8,704262.8207778794,-1153288.1700737383
AR22,739795.011702415,-1143986.9099854575
99A,739535.7374241361,-1141257.4687152947
SLG,495512.69394644216,-962251.9047722673
AR69,494025.1176368274,-962625.2986247387
38AR,497956.7396274761,-970209.8025519415
ASG,528897.1387412233,-961710.2188975703
0AR0,527254.8052002271,-961260.335109435
16AR,675331.5666212633,-1047512.513816547
55M,753053.9624829,-1193376.9012497168
4F8,646885.0817262034,-1256540.438103906
32AR,774978.6631274407,-1125376.5722467725
SGT,772770.4533262061,-1116494.682719594
TXK,559766.1350783359,-1262005.9142769
AR44,557266.9696301231,-1255644.9640517992
5AR1,792027.5725042225,-1213343.560447534
AWM,888909.2210849054,-1044211.0068314738
10AR,725938.101076519,-1158495.626601675
