year,airline,airport,type,block,n,airline_airport
1,UA,ORD,dep,1970-01-01T09:31:00Z,2640,UA/ ORD
1,UA,ORD,dep,1970-01-01T09:41:00Z,3284,UA/ ORD
1,UA,ORD,dep,1970-01-01T09:51:00Z,3093,UA/ ORD
1,UA,ORD,dep,1970-01-01T10:01:00Z,1367,UA/ ORD
1,UA,ORD,dep,1970-01-01T10:11:00Z,846,UA/ ORD
1,UA,ORD,dep,1970-01-01T10:21:00Z,474,UA/ ORD
1,UA,ORD,dep,1970-01-01T10:31:00Z,436,UA/ ORD
1,UA,ORD,dep,1970-01-01T10:41:00Z,990,UA/ ORD
1,UA,ORD,dep,1970-01-01T10:51:00Z,2697,UA/ ORD
1,UA,ORD,dep,1970-01-01T11:01:00Z,2601,UA/ ORD
1,UA,ORD,dep,1970-01-01T11:11:00Z,1361,UA/ ORD
1,UA,ORD,dep,1970-01-01T11:21:00Z,1011,UA/ ORD
1,UA,ORD,dep,1970-01-01T11:31:00Z,752,UA/ ORD
1,UA,ORD,dep,1970-01-01T11:41:00Z,875,UA/ ORD
1,UA,ORD,dep,1970-01-01T11:51:00Z,664,UA/ ORD
1,UA,ORD,dep,1970-01-01T12:01:00Z,537,UA/ ORD
1,UA,ORD,dep,1970-01-01T12:11:00Z,3805,UA/ ORD
1,UA,ORD,dep,1970-01-01T12:21:00Z,3430,UA/ ORD
1,UA,ORD,dep,1970-01-01T12:31:00Z,2124,UA/ ORD
1,UA,ORD,dep,1970-01-01T12:41:00Z,1891,UA/ ORD
1,UA,ORD,dep,1970-01-01T12:51:00Z,948,UA/ ORD
1,UA,ORD,dep,1970-01-01T13:01:00Z,629,UA/ ORD
1,UA,ORD,dep,1970-01-01T13:11:00Z,786,UA/ ORD
1,UA,ORD,dep,1970-01-01T13:21:00Z,1369,UA/ ORD
1,UA,ORD,dep,1970-01-01T13:31:00Z,3060,UA/ ORD
1,UA,ORD,dep,1970-01-01T13:41:00Z,3490,UA/ ORD
1,UA,ORD,dep,1970-01-01T13:51:00Z,1996,UA/ ORD
1,UA,ORD,dep,1970-01-01T14:01:00Z,1225,UA/ ORD
1,UA,ORD,dep,1970-01-01T14:11:00Z,1027,UA/ ORD
1,UA,ORD,dep,1970-01-01T14:21:00Z,728,UA/ ORD
1,UA,ORD,dep,1970-01-01T14:31:00Z,619,UA/ ORD
1,UA,ORD,dep,1970-01-01T14:41:00Z,745,UA/ ORD
1,UA,ORD,dep,1970-01-01T14:51:00Z,459,UA/ ORD
1,UA,ORD,dep,1970-01-01T15:01:00Z,628,UA/ ORD
1,UA,ORD,dep,1970-01-01T15:11:00Z,3409,UA/ ORD
1,UA,ORD,dep,1970-01-01T15:21:00Z,2869,UA/ ORD
1,UA,ORD,dep,1970-01-01T15:31:00Z,1985,UA/ ORD
1,UA,ORD,dep,1970-01-01T15:41:00Z,1363,UA/ ORD
1,UA,ORD,dep,1970-01-01T15:51:00Z,745,UA/ ORD
1,UA,ORD,dep,1970-01-01T16:01:00Z,824,UA/ ORD
1,UA,ORD,dep,1970-01-01T16:11:00Z,672,UA/ ORD
