origin,yearly_passengers,hub_type
NTD,357,Nonhub
BJC,317,Nonhub
FYV,303,Nonhub
LSF,294,Nonhub
SVN,291,Nonhub
APF,283,Nonhub
LRU,283,Nonhub
CHD,282,Nonhub
FOK,276,Nonhub
MVL,268,Nonhub
TN8,237,Nonhub
LAL,233,Nonhub
MFD,230,Nonhub
TCM,226,Nonhub
NYL,208,Nonhub
FWH,191,Nonhub
SC1,191,Nonhub
SLE,191,Nonhub
FID,179,Nonhub
MTO,172,Nonhub
SMN,165,Nonhub
MIE,160,Nonhub
RCE,157,Nonhub
APC,152,Nonhub
SCF,142,Nonhub
NJK,137,Nonhub
OXC,134,Nonhub
NPA,132,Nonhub
FBS,131,Nonhub
QMA,131,Nonhub
SMO,131,Nonhub
HTO,129,Nonhub
DMA,122,Nonhub
NGU,122,Nonhub
OFF,121,Nonhub
DPA,119,Nonhub
TRM,119,Nonhub
INS,114,Nonhub
PWK,111,Nonhub
RIL,111,Nonhub
VOK,111,Nonhub
ORL,99,Nonhub
RCA,99,Nonhub
CWF,94,Nonhub
FPR,88,Nonhub
ME3,88,Nonhub
NIP,81,Nonhub
APA,80,Nonhub
NKX,80,Nonhub
HHR,79,Nonhub
ADW,77,Nonhub
LFI,74,Nonhub
NQX,71,Nonhub
FXE,70,Nonhub
L41,66,Nonhub
MUO,66,Nonhub
BVY,63,Nonhub
RME,63,Nonhub
MVM,62,Nonhub
PA5,62,Nonhub
HOP,61,Nonhub
AND,60,Nonhub
BCE,60,Nonhub
SGR,59,Nonhub
UGN,59,Nonhub
AGC,58,Nonhub
SDM,58,Nonhub
NHK,55,Nonhub
MTP,53,Nonhub
NPT,50,Nonhub
BCT,49,Nonhub
DXR,47,Nonhub
EEN,47,Nonhub
UOX,45,Nonhub
DET,43,Nonhub
PNE,43,Nonhub
NEW,42,Nonhub
LCI,40,Nonhub
HSH,39,Nonhub
SUA,38,Nonhub
BDR,37,Nonhub
ERV,36,Nonhub
OWD,34,Nonhub
STP,33,Nonhub
BLM,32,Nonhub
ENW,31,Nonhub
N2C,31,Nonhub
AUO,30,Nonhub
DTR,30,Nonhub
LEW,30,Nonhub
RBW,30,Nonhub
C01,29,Nonhub
NJ1,28,Nonhub
CEU,27,Nonhub
PYM,27,Nonhub
SAC,26,Nonhub
ATO,25,Nonhub
GON,25,Nonhub
RSN,25,Nonhub
BFG,24,Nonhub
CEW,24,Nonhub
MQI,24,Nonhub
MTN,24,Nonhub
CRE,23,Nonhub
GYR,23,Nonhub
PSF,22,Nonhub
WAR,22,Nonhub
ADS,21,Nonhub
ESN,21,Nonhub
GAI,21,Nonhub
MA1,21,Nonhub
NHZ,21,Nonhub
BBX,20,Nonhub
SUS,20,Nonhub
VT1,20,Nonhub
