airline,airport,type,block,n,airline_airport,year
AA,ORD,arr,1970-01-01T20:41:00Z,-1655,AA/ ORD,1995
AA,ORD,arr,1970-01-01T20:51:00Z,-1694,AA/ ORD,1995
AA,ORD,arr,1970-01-01T21:01:00Z,-1302,AA/ ORD,1995
AA,ORD,arr,1970-01-01T21:11:00Z,-1030,AA/ ORD,1995
AA,ORD,arr,1970-01-01T21:21:00Z,-724,AA/ ORD,1995
AA,ORD,arr,1970-01-01T21:31:00Z,-575,AA/ ORD,1995
AA,ORD,arr,1970-01-01T21:41:00Z,-531,AA/ ORD,1995
AA,ORD,arr,1970-01-01T21:51:00Z,-520,AA/ ORD,1995
AA,ORD,arr,1970-01-01T22:01:00Z,-533,AA/ ORD,1995
AA,ORD,arr,1970-01-01T22:11:00Z,-349,AA/ ORD,1995
AA,ORD,arr,1970-01-01T22:21:00Z,-248,AA/ ORD,1995
AA,ORD,arr,1970-01-01T22:31:00Z,-215,AA/ ORD,1995
AA,ORD,arr,1970-01-01T22:41:00Z,-243,AA/ ORD,1995
AA,ORD,arr,1970-01-01T22:51:00Z,-225,AA/ ORD,1995
AA,ORD,arr,1970-01-01T23:01:00Z,-128,AA/ ORD,1995
AA,ORD,arr,1970-01-01T23:11:00Z,-72,AA/ ORD,1995
AA,ORD,arr,1970-01-01T23:21:00Z,-50,AA/ ORD,1995
AA,ORD,arr,1970-01-01T23:31:00Z,-39,AA/ ORD,1995
AA,ORD,arr,1970-01-01T23:41:00Z,-55,AA/ ORD,1995
AA,ORD,arr,1970-01-01T23:51:00Z,-144,AA/ ORD,1995
AA,ORD,dep,1970-01-01T00:01:00Z,16,AA/ ORD,1995
AA,ORD,dep,1970-01-01T00:11:00Z,16,AA/ ORD,1995
AA,ORD,dep,1970-01-01T00:21:00Z,5,AA/ ORD,1995
AA,ORD,dep,1970-01-01T00:31:00Z,3,AA/ ORD,1995
AA,ORD,dep,1970-01-01T00:41:00Z,4,AA/ ORD,1995
AA,ORD,dep,1970-01-01T00:51:00Z,2,AA/ ORD,1995
AA,ORD,dep,1970-01-01T01:01:00Z,4,AA/ ORD,1995
AA,ORD,dep,1970-01-01T01:11:00Z,4,AA/ ORD,1995
AA,ORD,dep,1970-01-01T01:31:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T01:51:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T02:01:00Z,2,AA/ ORD,1995
AA,ORD,dep,1970-01-01T03:11:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T03:31:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T03:41:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T03:51:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T04:31:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T05:01:00Z,1,AA/ ORD,1995
AA,ORD,dep,1970-01-01T05:51:00Z,219,AA/ ORD,1995
AA,ORD,dep,1970-01-01T06:01:00Z,109,AA/ ORD,1995
AA,ORD,dep,1970-01-01T06:11:00Z,314,AA/ ORD,1995
AA,ORD,dep,1970-01-01T06:21:00Z,1339,AA/ ORD,1995
AA,ORD,dep,1970-01-01T06:31:00Z,598,AA/ ORD,1995
AA,ORD,dep,1970-01-01T06:41:00Z,655,AA/ ORD,1995
AA,ORD,dep,1970-01-01T06:51:00Z,2765,AA/ ORD,1995
AA,ORD,dep,1970-01-01T07:01:00Z,806,AA/ ORD,1995
AA,ORD,dep,1970-01-01T07:11:00Z,841,AA/ ORD,1995
AA,ORD,dep,1970-01-01T07:21:00Z,585,AA/ ORD,1995
