reporting_airline,id,type,airport,x,y
Southwest Airlines,74,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,74,dest,MDW,1011185.7905791268,-281702.30650750065
Southwest Airlines,75,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,75,dest,MSY,943779.1568939897,-1610813.662288556
Southwest Airlines,76,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,76,dest,OAK,-1929816.947397706,-549399.1884917811
Southwest Airlines,77,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,77,dest,PHX,-1115699.3885834513,-1205089.0053395256
Southwest Airlines,78,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,78,dest,SAN,-1603701.5452417962,-1199220.2306533586
Southwest Airlines,79,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,79,dest,SEA,-1650755.3926562539,505066.6320739882
Southwest Airlines,80,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,80,dest,SJC,-1914820.4720456952,-595055.2286396603
Southwest Airlines,81,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,81,dest,STL,834066.6669227502,-646449.0468188728
Southwest Airlines,82,origin,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,82,dest,TPA,1720329.790563932,-1713285.848456208
Southwest Airlines,83,origin,BDL,2208123.028463688,33971.4893617478
Southwest Airlines,83,dest,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,84,origin,BDL,2208123.028463688,33971.4893617478
Southwest Airlines,84,dest,DEN,-398957.8437938119,-559911.2634607605
Southwest Airlines,85,origin,BDL,2208123.028463688,33971.4893617478
Southwest Airlines,85,dest,FLL,1989416.8668556917,-1869685.279595282
Southwest Airlines,86,origin,BDL,2208123.028463688,33971.4893617478
Southwest Airlines,86,dest,LAS,-1356682.4796960566,-868251.8410072095
Southwest Airlines,87,origin,BDL,2208123.028463688,33971.4893617478
Southwest Airlines,87,dest,MCO,1829771.2698870576,-1638824.7811905802
Southwest Airlines,88,origin,BDL,2208123.028463688,33971.4893617478
