year,airline,airport,type,block,n,airline_airport
1,AA,CLT,dep,1970-01-01T23:41:00Z,1,AA/ CLT
1,AA,DFW,arr,1970-01-01T00:01:00Z,-138,AA/ DFW
1,AA,DFW,arr,1970-01-01T00:11:00Z,-85,AA/ DFW
1,AA,DFW,arr,1970-01-01T00:21:00Z,-84,AA/ DFW
1,AA,DFW,arr,1970-01-01T00:31:00Z,-68,AA/ DFW
1,AA,DFW,arr,1970-01-01T00:41:00Z,-34,AA/ DFW
1,AA,DFW,arr,1970-01-01T00:51:00Z,-23,AA/ DFW
1,AA,DFW,arr,1970-01-01T01:01:00Z,-19,AA/ DFW
1,AA,DFW,arr,1970-01-01T01:11:00Z,-23,AA/ DFW
1,AA,DFW,arr,1970-01-01T01:21:00Z,-7,AA/ DFW
1,AA,DFW,arr,1970-01-01T01:31:00Z,-8,AA/ DFW
1,AA,DFW,arr,1970-01-01T01:41:00Z,-5,AA/ DFW
1,AA,DFW,arr,1970-01-01T01:51:00Z,-2,AA/ DFW
1,AA,DFW,arr,1970-01-01T02:01:00Z,-5,AA/ DFW
1,AA,DFW,arr,1970-01-01T02:11:00Z,-4,AA/ DFW
1,AA,DFW,arr,1970-01-01T02:21:00Z,-1,AA/ DFW
1,AA,DFW,arr,1970-01-01T02:31:00Z,-5,AA/ DFW
1,AA,DFW,arr,1970-01-01T02:41:00Z,-3,AA/ DFW
1,AA,DFW,arr,1970-01-01T02:51:00Z,-3,AA/ DFW
1,AA,DFW,arr,1970-01-01T03:01:00Z,-4,AA/ DFW
1,AA,DFW,arr,1970-01-01T03:11:00Z,-2,AA/ DFW
1,AA,DFW,arr,1970-01-01T03:21:00Z,-1,AA/ DFW
1,AA,DFW,arr,1970-01-01T04:01:00Z,-1,AA/ DFW
1,AA,DFW,arr,1970-01-01T04:11:00Z,-1,AA/ DFW
1,AA,DFW,arr,1970-01-01T04:21:00Z,-1,AA/ DFW
1,AA,DFW,arr,1970-01-01T04:31:00Z,-1,AA/ DFW
1,AA,DFW,arr,1970-01-01T04:41:00Z,-8,AA/ DFW
1,AA,DFW,arr,1970-01-01T04:51:00Z,-15,AA/ DFW
1,AA,DFW,arr,1970-01-01T05:01:00Z,-66,AA/ DFW
1,AA,DFW,arr,1970-01-01T05:11:00Z,-217,AA/ DFW
1,AA,DFW,arr,1970-01-01T05:21:00Z,-475,AA/ DFW
1,AA,DFW,arr,1970-01-01T05:31:00Z,-980,AA/ DFW
1,AA,DFW,arr,1970-01-01T05:41:00Z,-1170,AA/ DFW
1,AA,DFW,arr,1970-01-01T05:51:00Z,-907,AA/ DFW
1,AA,DFW,arr,1970-01-01T06:01:00Z,-208,AA/ DFW
1,AA,DFW,arr,1970-01-01T06:11:00Z,-67,AA/ DFW
1,AA,DFW,arr,1970-01-01T06:21:00Z,-53,AA/ DFW
1,AA,DFW,arr,1970-01-01T06:31:00Z,-73,AA/ DFW
1,AA,DFW,arr,1970-01-01T06:41:00Z,-73,AA/ DFW
1,AA,DFW,arr,1970-01-01T06:51:00Z,-109,AA/ DFW
1,AA,DFW,arr,1970-01-01T07:01:00Z,-451,AA/ DFW
1,AA,DFW,arr,1970-01-01T07:11:00Z,-1400,AA/ DFW
1,AA,DFW,arr,1970-01-01T07:21:00Z,-1751,AA/ DFW
1,AA,DFW,arr,1970-01-01T07:31:00Z,-592,AA/ DFW
1,AA,DFW,arr,1970-01-01T07:41:00Z,-153,AA/ DFW
1,AA,DFW,arr,1970-01-01T07:51:00Z,-99,AA/ DFW
1,AA,DFW,arr,1970-01-01T08:01:00Z,-372,AA/ DFW
1,AA,DFW,arr,1970-01-01T08:11:00Z,-1096,AA/ DFW
1,AA,DFW,arr,1970-01-01T08:21:00Z,-2908,AA/ DFW
1,AA,DFW,arr,1970-01-01T08:31:00Z,-4619,AA/ DFW
1,AA,DFW,arr,1970-01-01T08:41:00Z,-3526,AA/ DFW
1,AA,DFW,arr,1970-01-01T08:51:00Z,-1469,AA/ DFW
1,AA,DFW,arr,1970-01-01T09:01:00Z,-593,AA/ DFW
1,AA,DFW,arr,1970-01-01T09:11:00Z,-313,AA/ DFW
1,AA,DFW,arr,1970-01-01T09:21:00Z,-357,AA/ DFW
1,AA,DFW,arr,1970-01-01T09:31:00Z,-843,AA/ DFW
1,AA,DFW,arr,1970-01-01T09:41:00Z,-2157,AA/ DFW
